"Station Name","THUNDER BAY CS"
"Province","ONTARIO"
"Latitude","48.37"
"Longitude","-89.33"
"Elevation","199.40"
"Climate Identifier","6048268"
"WMO Identifier","71667"
"TC Identifier","ZTB"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"","Data for this day has undergone only preliminary quality checking"
"","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2003-02-04","2003","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-05","2003","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-06","2003","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-07","2003","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-08","2003","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-09","2003","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-10","2003","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-11","2003","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-12","2003","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-13","2003","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-14","2003","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-15","2003","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-16","2003","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-17","2003","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-18","2003","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-19","2003","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-20","2003","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-21","2003","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-22","2003","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-23","2003","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-24","2003","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-25","2003","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-26","2003","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-27","2003","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"2003-02-28","2003","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-01","2003","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-02","2003","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-03","2003","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-04","2003","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-05","2003","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-06","2003","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-07","2003","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-08","2003","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-09","2003","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-10","2003","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-11","2003","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-12","2003","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-13","2003","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-14","2003","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-15","2003","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-16","2003","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-17","2003","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-18","2003","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-19","2003","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-20","2003","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-21","2003","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-22","2003","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-23","2003","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-24","2003","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-25","2003","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-26","2003","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-27","2003","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-28","2003","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-29","2003","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-30","2003","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"2003-03-31","2003","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-01","2003","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-02","2003","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-03","2003","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-04","2003","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-05","2003","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-06","2003","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-07","2003","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-08","2003","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-09","2003","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-10","2003","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-11","2003","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-12","2003","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-13","2003","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-14","2003","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-15","2003","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-16","2003","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-17","2003","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-18","2003","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-19","2003","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-20","2003","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-21","2003","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-22","2003","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-23","2003","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-24","2003","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-25","2003","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-26","2003","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-27","2003","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-28","2003","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-29","2003","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"2003-04-30","2003","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-01","2003","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-02","2003","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-03","2003","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-04","2003","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-05","2003","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-06","2003","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-07","2003","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-08","2003","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-09","2003","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-10","2003","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-11","2003","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-12","2003","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-13","2003","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-14","2003","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-15","2003","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-16","2003","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-17","2003","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-18","2003","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-19","2003","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-20","2003","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-21","2003","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-22","2003","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-23","2003","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-24","2003","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-25","2003","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-26","2003","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-27","2003","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-28","2003","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-29","2003","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-30","2003","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"2003-05-31","2003","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-01","2003","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-02","2003","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-03","2003","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-04","2003","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-05","2003","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-06","2003","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-07","2003","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-08","2003","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-09","2003","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-10","2003","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-11","2003","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-12","2003","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-13","2003","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-14","2003","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-15","2003","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-16","2003","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-17","2003","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-18","2003","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-19","2003","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-20","2003","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-21","2003","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-22","2003","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-23","2003","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-24","2003","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-25","2003","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-26","2003","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-27","2003","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-28","2003","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-29","2003","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"2003-06-30","2003","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-01","2003","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-02","2003","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-03","2003","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-04","2003","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-05","2003","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-06","2003","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-07","2003","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-08","2003","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-09","2003","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-10","2003","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-11","2003","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-12","2003","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-13","2003","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-14","2003","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-15","2003","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-16","2003","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-17","2003","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-18","2003","07","18","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-19","2003","07","19","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-20","2003","07","20","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-21","2003","07","21","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-22","2003","07","22","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-23","2003","07","23","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-24","2003","07","24","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-25","2003","07","25","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-26","2003","07","26","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-27","2003","07","27","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-28","2003","07","28","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-29","2003","07","29","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-30","2003","07","30","","","","","","","","","","","","","","","","","","","","","","",""
"2003-07-31","2003","07","31","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-01","2003","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-02","2003","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-03","2003","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-04","2003","08","04","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-05","2003","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-06","2003","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-07","2003","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-08","2003","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-09","2003","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-10","2003","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-11","2003","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-12","2003","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-13","2003","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-14","2003","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-15","2003","08","15","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-16","2003","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-17","2003","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-18","2003","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-19","2003","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-20","2003","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-21","2003","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-22","2003","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-23","2003","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-24","2003","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-25","2003","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-26","2003","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-27","2003","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-28","2003","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-29","2003","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-30","2003","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"2003-08-31","2003","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-01","2003","09","01","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-02","2003","09","02","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-03","2003","09","03","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-04","2003","09","04","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-05","2003","09","05","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-06","2003","09","06","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-07","2003","09","07","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-08","2003","09","08","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-09","2003","09","09","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-10","2003","09","10","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-11","2003","09","11","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-12","2003","09","12","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-13","2003","09","13","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-14","2003","09","14","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-15","2003","09","15","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-16","2003","09","16","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-17","2003","09","17","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-18","2003","09","18","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-19","2003","09","19","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-20","2003","09","20","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-21","2003","09","21","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-22","2003","09","22","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-23","2003","09","23","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-24","2003","09","24","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-25","2003","09","25","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-26","2003","09","26","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-27","2003","09","27","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-28","2003","09","28","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-29","2003","09","29","","","","","","","","","","","","","","","","","","","","","","",""
"2003-09-30","2003","09","30","","","","","","","","","","","","","","","","","","","","","","",""
"2003-10-01","2003","10","01","","7.5","","-5.4","","1.1","","16.9","","0.0","","","","","","0.2","","0","","","","",""
"2003-10-02","2003","10","02","","7.8","","-7.7","","0.1","","17.9","","0.0","","","","","","0.2","","0","","","","",""
"2003-10-03","2003","10","03","","7.4","","0.7","","4.1","","13.9","","0.0","","","","","","1.2","","0","","","","",""
"2003-10-04","2003","10","04","","7.6","","-5.2","","1.2","","16.8","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-05","2003","10","05","","10.8","","-4.5","","3.2","","14.8","","0.0","","","","","","0.2","","0","","","","",""
"2003-10-06","2003","10","06","","14.3","","-6.6","","3.9","","14.1","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-07","2003","10","07","","22.0","","-1.4","","10.3","","7.7","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-08","2003","10","08","","19.5","","1.2","","10.4","","7.6","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-09","2003","10","09","","23.1","","4.9","","14.0","","4.0","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-10","2003","10","10","","23.2","","8.8","","16.0","","2.0","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-11","2003","10","11","","21.2","","9.3","","15.3","","2.7","","0.0","","","","","","17.2","","0","","","","",""
"2003-10-12","2003","10","12","","15.0","","5.4","","10.2","","7.8","","0.0","","","","","","0.6","","0","","","","",""
"2003-10-13","2003","10","13","","16.4","","5.0","","10.7","","7.3","","0.0","","","","","","2.0","","0","","","","",""
"2003-10-14","2003","10","14","","12.2","","-0.3","","6.0","","12.0","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-15","2003","10","15","","7.7","","-2.5","","2.6","","15.4","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-16","2003","10","16","","9.0","","-6.1","","1.5","","16.5","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-17","2003","10","17","","5.9","","-7.1","","-0.6","","18.6","","0.0","","","","","","0.6","","0","","","","",""
"2003-10-18","2003","10","18","","12.7","","2.9","","7.8","","10.2","","0.0","","","","","","0.2","","0","","","","",""
"2003-10-19","2003","10","19","","7.9","","0.7","","4.3","","13.7","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-20","2003","10","20","","9.5","","6.8","","8.2","","9.8","","0.0","","","","","","0.4","","0","","","","",""
"2003-10-21","2003","10","21","","9.6","","-2.3","","3.7","","14.3","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-22","2003","10","22","","7.9","","-2.4","","2.8","","15.2","","0.0","","","","","","0.2","","0","","","","",""
"2003-10-23","2003","10","23","","6.4","","-1.5","","2.5","","15.5","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-24","2003","10","24","","5.2","","-1.8","","1.7","","16.3","","0.0","","","","","","5.8","","0","","","","",""
"2003-10-25","2003","10","25","","7.2","","-2.1","","2.6","","15.4","","0.0","","","","","","0.4","","0","","","","",""
"2003-10-26","2003","10","26","","2.6","","-6.1","","-1.8","","19.8","","0.0","","","","","","0.0","","0","","","","",""
"2003-10-27","2003","10","27","","3.4","","-4.9","","-0.8","","18.8","","0.0","","","","","","2.6","","0","","","","",""
"2003-10-28","2003","10","28","","3.6","","-0.2","","1.7","","16.3","","0.0","","","","","","4.8","","4","","","","",""
"2003-10-29","2003","10","29","","3.1","","0.0","","1.6","","16.4","","0.0","","","","","","1.6","","0","","","","",""
"2003-10-30","2003","10","30","","3.1","","0.7","","1.9","","16.1","","0.0","","","","","","9.2","","0","","","","",""
"2003-10-31","2003","10","31","","4.7","","-0.8","","2.0","","16.0","","0.0","","","","","","0.0","","0","","","","",""
"2003-11-01","2003","11","01","","0.4","","-3.9","","-1.8","","19.8","","0.0","","","","","","0.0","","0","","","","",""
"2003-11-02","2003","11","02","","2.9","","-3.2","","-0.2","","18.2","","0.0","","","","","","0.0","","0","","","","",""
"2003-11-03","2003","11","03","","0.7","","-6.9","","-3.1","","21.1","","0.0","","","","","","0.0","","0","","","","",""
"2003-11-04","2003","11","04","","-1.2","","-4.1","","-2.7","","20.7","","0.0","","","","","","2.4","","3","","","","",""
"2003-11-05","2003","11","05","","-1.3","","-6.7","","-4.0","","22.0","","0.0","","","","","","0.0","","2","","","","",""
